,Train Loss,Val Loss,Train Acc,Val Acc
0,0.9971170529075291,0.6077602505683899,0.4788684389911384,0.6920980926430518
1,0.7169088483180689,0.5751205682754517,0.6322426721199728,0.6961852861035422
2,0.6238257990259192,0.5626499056816101,0.6833674164962509,0.728882833787466
3,0.5873073742765448,0.5516179203987122,0.7044989775051125,0.7343324250681199
4,0.5726732236697621,0.5357217192649841,0.7092706203135651,0.7384196185286104
5,0.5525275046086829,0.5307841897010803,0.7201772324471711,0.7506811989100818
6,0.5333750087605871,0.5238662362098694,0.7300613496932515,0.7506811989100818
7,0.5292148805506851,0.5151981711387634,0.7365371506475801,0.7602179836512262
8,0.5099376795570487,0.5205620527267456,0.7518745739604635,0.7574931880108992
9,0.5052337000227493,0.5139041543006897,0.7542603953646898,0.7602179836512262
