,Train Loss,Val Loss,Train Acc,Val Acc
0,0.9971170529075291,0.6077602505683899,0.4788684389911384,0.6920980926430518
1,0.7169088483180689,0.5751205682754517,0.6322426721199728,0.6961852861035422
2,0.6238257990259192,0.5626499056816101,0.6833674164962509,0.728882833787466
3,0.5873073742765448,0.5516179203987122,0.7044989775051125,0.7343324250681199
4,0.5726732236697621,0.5357217192649841,0.7092706203135651,0.7384196185286104
5,0.5525275046086829,0.5307841897010803,0.7201772324471711,0.7506811989100818
6,0.5333750087605871,0.5238662362098694,0.7300613496932515,0.7506811989100818
7,0.5292148805506851,0.5151981711387634,0.7365371506475801,0.7602179836512262
8,0.5099376795570487,0.5205620527267456,0.7518745739604635,0.7574931880108992
9,0.5052337000227493,0.5139041543006897,0.7542603953646898,0.7602179836512262
10,0.49475241590129293,0.5102052092552185,0.7620995228357191,0.7643051771117166
11,0.4754101152167372,0.51082843542099,0.7788002726653034,0.7629427792915532
12,0.4616210732771003,0.5120964050292969,0.7828902522154055,0.7643051771117166
13,0.45541957004562666,0.5135288834571838,0.7835719154737559,0.771117166212534
14,0.4427199955705715,0.5155493021011353,0.7968643490115883,0.7670299727520435
15,0.42533825694218924,0.5044381618499756,0.8029993183367417,0.771117166212534
16,0.41049887693446613,0.5089049339294434,0.8190184049079755,0.7752043596730245
17,0.3980959463945549,0.5124794244766235,0.8289025221540559,0.7724795640326976
18,0.3768763235243766,0.5243850350379944,0.834696659850034,0.7752043596730245
19,0.3677591503719273,0.5282045006752014,0.8394683026584867,0.7752043596730245
20,0.3624358154914301,0.5164872407913208,0.832651670074983,0.784741144414169
21,0.3295892787206432,0.5358014106750488,0.8602590320381731,0.776566757493188
22,0.3302524357062319,0.540285587310791,0.8711656441717791,0.7779291553133515
23,0.30639867002711346,0.536841869354248,0.8670756646216768,0.7752043596730245
24,0.2986488063495768,0.5547127723693848,0.8773006134969326,0.7779291553133515
25,0.2814430499692326,0.5667629241943359,0.8820722563053851,0.782016348773842
