,Train Loss,Val Loss,Train Acc,Val Acc
0,1.2613131663073665,0.6357792615890503,0.5146557600545331,0.6798365122615804
1,1.2046576271886411,0.6249987483024597,0.5364689843217451,0.6893732970027248
2,1.1023139694462651,0.6175317168235779,0.5419222903885481,0.6920980926430518
3,0.9541251452072806,0.6108556389808655,0.5736196319018405,0.6907356948228883
4,0.8438517127348029,0.6034466624259949,0.5971370143149284,0.6920980926430518
5,0.8518770388934923,0.5970290899276733,0.5797546012269938,0.7016348773841962
6,0.8074763313583706,0.5890554785728455,0.6002044989775052,0.7098092643051771
7,0.7871570807436238,0.5833736658096313,0.5978186775732788,0.7057220708446866
8,0.7363997127698816,0.577934205532074,0.6244035446489434,0.7084468664850136
9,0.7094524295433707,0.5716474056243896,0.6380368098159509,0.7084468664850136
10,0.7009163317473038,0.5638416409492493,0.6428084526244036,0.7125340599455041
11,0.67978609903999,0.5574178695678711,0.6451942740286298,0.723433242506812
12,0.6641348328279413,0.5503519177436829,0.6659850034083163,0.726158038147139
13,0.6541608584963757,0.5446328520774841,0.6625766871165644,0.7275204359673024
14,0.6530615182026572,0.5404949188232422,0.6683708248125426,0.7316076294277929
15,0.6187234430209451,0.5376789569854736,0.6884798909338786,0.7356948228882834
16,0.6086758381646612,0.5313047766685486,0.6929107021131561,0.7397820163487738
17,0.6006247679824415,0.5276114344596863,0.6966598500340832,0.7438692098092643
18,0.5949123786843341,0.5260265469551086,0.6976823449216087,0.7493188010899182
19,0.600214233217032,0.523098349571228,0.710974778459441,0.7493188010899182
20,0.5654720366001129,0.5207067131996155,0.7198364008179959,0.7534059945504087
21,0.5730141440163488,0.518851637840271,0.7177914110429447,0.7547683923705722
22,0.5561555487954098,0.5156762599945068,0.721881390593047,0.7602179836512262
23,0.5666558697171833,0.5145872235298157,0.7276755282890253,0.7615803814713896
24,0.5430714850840361,0.5143884420394897,0.7372188139059305,0.7615803814713896
25,0.528122097901676,0.5176489949226379,0.7450579413769598,0.7574931880108992
26,0.5424752248370129,0.5090831518173218,0.7263122017723245,0.7602179836512262
27,0.5177155363818874,0.5068137645721436,0.7528970688479891,0.7615803814713896
28,0.5046227198580037,0.5189812779426575,0.7559645535105658,0.7602179836512262
