,Train Loss,Val Loss,Train Acc,Val Acc
0,0.6945453273213428,0.6935941576957703,0.5269256987048399,0.3583106267029973
1,0.6932395113551099,0.6935607194900513,0.5224948875255624,0.3678474114441417
2,0.6942577076994855,0.6935256123542786,0.5102249488752556,0.3760217983651226
3,0.694263192622558,0.6934909820556641,0.516359918200409,0.3787465940054496
4,0.6934596675893535,0.6934519410133362,0.5231765507839128,0.385558583106267
5,0.6939026609711025,0.6934196352958679,0.5432856169052488,0.3896457765667575
6,0.6928263552810835,0.6933847665786743,0.5569188820722563,0.4019073569482289
7,0.694313596772111,0.6933509707450867,0.5255623721881391,0.4141689373297003
8,0.6934295588213465,0.6933149695396423,0.5422631220177232,0.42370572207084467
9,0.694213277619818,0.6932790279388428,0.5310156782549421,0.4250681198910082
