,Train Loss,Val Loss,Train Acc,Val Acc
0,1.3152522781620855,0.6249294877052307,0.5821404226312201,0.6825613079019074
1,1.0747343094452568,0.6202865839004517,0.5903203817314246,0.6784741144414169
2,0.885448571132577,0.6679150462150574,0.6022494887525562,0.5994550408719346
3,0.743345900722172,0.6039071083068848,0.6295160190865713,0.6948228882833788
4,0.6636214968950852,0.6372271180152893,0.645535105657805,0.6948228882833788
5,0.6322005384642145,0.6504992842674255,0.6714383094751193,0.7043596730245232
6,0.6009754927262015,0.6578991413116455,0.6912065439672802,0.7002724795640327
7,0.5823317001695218,0.6329708099365234,0.6987048398091343,0.7057220708446866
8,0.5811011052649954,0.6485140323638916,0.7062031356509885,0.7043596730245232
9,0.5571013468763103,0.607808530330658,0.7249488752556237,0.7043596730245232
